,Gradual Deindustr 2030,"Gradual Deindustr
Extra Flexibility 2030",Reindustr Strategy 2030,"Reindustr Strategy
Extra Flexibility 2030",Gradual Deindustr 2040,"Gradual Deindustr
Extra Flexibility 2040",Reindustr Strategy 2040,"Reindustr Strategy
Extra Flexibility 2040",Gradual Deindustr 2050,"Gradual Deindustr
Extra Flexibility 2050",Reindustr Strategy 2050,"Reindustr Strategy
Extra Flexibility 2050"
Generator Offshore Wind (DC),18463099809.46018,17879857398.46449,26989389422.89817,24918649892.2302,54177969959.96882,54394354839.47979,56579401863.39279,56449588703.33287,54177968778.45558,54394352703.98624,56579402230.61826,56449588575.23199
Generator Offshore Wind (Floating),22374.65457,19389.44184,21506.52589,20581.93652,19475.47014,14369.04565,9884.18167,25799.25247,5882.71518,5027.07889,23275730959.03834,26247618128.79756
Generator Onshore Wind,37710924107.12169,37325062104.46641,42052481205.84578,41382738517.1719,116852082866.14285,118057215856.44115,174754402211.14664,171052809695.53632,106996234116.94112,108178434686.31747,169625738403.26892,165546711902.52103
Generator Run of River,14841463237.9436,14841463237.9436,14841463237.9436,14841463237.9436,14841463237.9436,14841463237.9436,14841463237.9436,14841463237.9436,14841463237.9436,14841463237.9436,14841463237.9436,14841463237.9436
Generator Solar,20220099426.90276,20220218847.78476,19990137645.27977,19931700670.07445,109783767816.60033,108952022835.77672,161766387707.76602,164634470356.32733,118274302077.58424,117309306946.156,206903946295.54108,207501058349.16968
Generator biogas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Generator coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Generator gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Generator iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Generator lignite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Generator limestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Generator nuclear,86543548705.12485,86543548705.12485,86543548705.12485,86543548705.12485,86543548705.12485,86543548705.12485,86543548705.12485,86543548705.12485,86543548705.12485,86543548705.12485,86543548705.12485,86543548705.12485
Generator oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Generator residential rural solar thermal,3934.98062,3307.5308,3033.76473,2811.14836,,,,,,,,
Generator residential urban decentral solar thermal,4525.93039,3909.85607,3635.42823,3187.45492,,,,,,,,
Generator rural solar thermal,,,,,4090.38094,3465.11278,2020.49581,4473.26562,1058.8029,1113.18823,3328.95123,1815.52092
Generator solid biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Generator unsustainable biogas,0.0,0.0,0.0,0.0,,,,,,,,
Generator unsustainable bioliquids,0.0,0.0,0.0,0.0,,,,,,,,
Generator unsustainable solid biomass,0.0,0.0,0.0,0.0,,,,,,,,
Generator urban central solar thermal,5463.72451,4776.0104,4054.15795,3597.58877,4999.79489,3615.90455,2297.53045,5828.12254,1139.63308,949.22335,3758.80261,1670.18329
Generator urban decentral solar thermal,,,,,4527.44126,3325.64054,2059.46495,5236.12417,1044.11715,873.74255,3489.98036,1503.91786
Line AC,5717668765.86344,5678899643.98208,5926441137.36545,5926669694.76222,7322937263.86098,7360657158.89025,7309521704.63203,7317771782.01741,7483120211.72923,7519868808.31121,7525465380.44365,7546356377.8443
Link BEV charger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Link BF-BOF,7613.91878,9804.66854,2941.01648,4118.76737,4050.18976,4586.99268,1783.07687,6310.52307,1317.46322,1674.07125,3303.61754,2341.36954
Link Combined-Cycle Gas,20084191727.4558,20084191727.4558,20084191727.4558,20084191727.4558,14613434135.74222,14613434135.74222,14613434135.74222,14613434135.74222,5237463265.5537,5237463265.5537,5237463265.5537,5237463265.5537
Link DAC,19954.52824,17414.93417,16144.18657,14468.00935,22312111298.91158,22129698664.70027,47998929019.56085,47665954056.76913,22843492487.36954,22631203284.74785,58791528455.61559,58409545206.53411
Link DC,5549755552.1513,5458255266.64918,7523291548.4701,7109426461.98897,18498298648.89176,18622806203.71734,17415548757.88663,17247614201.86251,19329778761.8915,19391995962.99149,18244038260.65742,17766755010.89798
Link DRI-EAF,4862010478.24886,4862009064.7418,6531730521.76326,6665304273.285,13930405396.74681,13930402579.98697,26507167222.01006,26507168272.55308,9277059773.10324,9277059152.49624,32168283892.9579,32168281601.98226
Link Fischer-Tropsch,7253.69423,6571.15869,4347.384,4571.83347,16749635103.84024,16508444759.63462,27416020537.54098,27429510929.22563,16890830004.95035,16667818880.87044,33226643413.38924,33248239014.67926
Link H2 Electrolysis,11257.00644,9598.18806,1975781840.66345,512555664.05509,88573097881.92621,88783440834.19708,142433680279.5507,142801081892.0332,93079185537.67657,93276336522.8368,176070292810.65656,177332802512.04965
Link H2 Fuel Cell,6786.7782,6010.15798,5014.18377,4059.07645,5225.44217,3968.80695,2756.49418,5601.71261,1526.71898,1125.47259,4236.90422,1486.44996
Link HVC to air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Link Haber-Bosch,694914691.47971,694914837.87602,1167701928.68994,1167702238.77405,366048528.13716,366048798.74428,1286825401.22291,1286827976.14206,21069937.32717,21069984.37592,1222543600.70336,1222543372.60642
Link Open-Cycle Gas,1118265.08479,1117666.6068,1116895.46962,1116292.56395,1116548.73375,1115972.45686,1114633.38994,1117337.93755,1113868.81215,1113399.23666,1116003.25453,1113600.91665
Link SMR,24983.98927,21817.02668,2000487.47036,45918.58851,7900.60403,5881.27028,1914036.28831,6088.39546,65532526.56028,57783864.37662,1915666.92771,1627.22878
Link SMR CC,1810151536.40724,1810152181.07521,1551889223.1072,2018475649.65059,1808500004.00267,1808497835.05785,1550851514.32872,2017215027.19462,1822939964.54042,1808516121.7412,1550853622.96717,2017210017.16046
Link Sabatier,3993.35117,3509.41885,2419.51351,2482.33962,3293.51085,2256.05679,1217.53526,3498.21651,742.08948,412.48517,2560.2272,1092.10189
Link agriculture machinery oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Link battery charger,20206.51175,17801.04811,17464.81543,14473.34308,8192606262.9021,8031114216.93916,12550192957.26529,12813039350.57596,5637729212.4431,5523867651.39888,10440338261.61729,10408059808.25921
Link battery discharger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Link biogas to gas,1561468513.20867,1561468621.88819,1561468529.80219,1561468490.29344,8001519178.3256,8001519118.71361,8001519023.54699,8001519214.90598,7928769711.76806,7928769679.0701,7928769810.63134,7928769732.98912
Link biomass to liquid,511.68391,494.73783,591.00135,545.30389,24892870.76476,145437211.99059,277770808.19685,404576337.44707,24892949.4331,145437295.94296,549640638.24857,602444551.81875
Link cement plant,129393.62509,129374.65805,153159.37314,153807.7598,383301.82627,383301.82627,556391.4491,556391.4491,335221.37548,335221.37548,604471.89989,604471.89989
Link cement process emissions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Link cement process emissions CC,9863.61988,8584.92244,7901.47061,7115.12827,15416.88318,13705.08987,7540.22415,19522.58646,3565.63498,3797.91799,12630.45642,7472.87841
Link co2 sequestered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Link coal,6201138661.38492,6201138661.38492,6201138661.38492,6201138661.38492,768030024.80186,768030024.80186,768030024.80186,768030024.80186,638792357.21041,638792357.21041,638792357.21041,638792357.21041
Link coal for industry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Link gas for industry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Link gas for industry CC,423.8689,385.25499,261.03919,245.88109,3269460997.79237,3269460991.13142,3269461025.16364,3269461047.91932,3269461067.13638,3269461048.09249,3269461238.73833,3269461161.39528
Link industry methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Link kerosene for aviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Link land transport oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Link lignite,10908402551.03873,10908402551.03873,10908402551.03873,10908402551.03873,3460538841.99201,3460538841.99201,3460538841.99201,3460538841.99201,2690008817.91331,2690008817.91331,2690008817.91331,2690008817.91331
Link methanolisation,865846118.12715,865849152.81143,952673946.48381,898603065.11007,2321921451.98043,2754190325.76251,2515020965.97762,3036168830.49731,2476792001.00926,2851107004.82246,2872234806.28562,3535527353.09726
Link naphtha steam cracker,8275310.75616,8276500.69406,11309924.2706,11310531.09613,10429595.54821,12166785.64294,21119287.20974,24510024.0389,7330874.23371,8552932.15049,24710128.05607,28828693.90018
Link nuclear,52801076713.13899,52801076713.13899,52801076713.13899,52801076713.13899,27115050414.24972,27115050414.24972,27115050414.24972,27115050414.24972,27115050414.24972,27115050414.24972,27115050414.24972,27115050414.24972
Link oil,169233235.81569,169233235.81569,169233235.81569,169233235.81569,97750940.69962,97750940.69962,97750940.69962,97750940.69962,46352430.31182,46352430.31182,46352430.31182,46352430.31182
Link process emissions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Link process emissions CC,704989140.82906,704989178.07542,704989536.51825,704989476.44384,760251266.77633,760251197.13136,760251161.76656,760251348.04647,797849892.76155,797849876.50404,797850132.66036,797850036.17959
Link residential rural air heat pump,,23318.44658,,19716.889,,,,,,,,
Link residential rural biomass boiler,,,869401186.08002,874267885.38956,,,,,,,,
Link residential rural gas boiler,6590655422.18229,,,,,,,,,,,
Link residential urban decentral air heat pump,20408846299.8791,19496724317.87076,,27186481582.61242,,,,,,,,
Link residential urban decentral biomass boiler,,,8258872625.26035,,,,,,,,,
Link residential urban decentral resistive heater,2475746855.51062,2480165731.57013,2558160229.68755,2521208688.53064,,,,,,,,
Link rural air heat pump,,,,,28666.76745,25441.41648,16155.13377,32246.3021,7571.67536,7825.66881,21451.40411,12139.90549
Link rural biomass boiler,,,,,994052789.29363,1010296962.10927,868591202.10262,873659806.45285,3320.38129,3136.02282,7683.08425,3083.76089
Link rural gas boiler,,,,,7348.64819,5900.5917,3218.04801,6324.52352,3184.46604,2833.65781,5374.71325,2036.21282
Link rural ground heat pump,,,,,25012010446.55738,24913859562.24318,24303802577.11792,24026613102.28176,20330651133.04116,20213475705.46982,19748001371.67134,19379854498.37554
Link rural oil boiler,1423233090.12743,1423233090.12743,1423233090.12743,1423233090.12743,,,,,,,,
Link rural resistive heater,,,,,1424676645.00413,1428310932.04489,1476781649.96433,1492664585.23204,1313887222.47452,1319536818.77141,1370809268.01162,1388308606.20345
Link services rural air heat pump,28497.01255,,18767.32168,,,,,,,,,
Link services rural biomass boiler,994067167.22652,1010308709.28699,,,,,,,,,,
Link services rural gas boiler,,6590655267.57221,6590639230.4864,6590638676.22945,,,,,,,,
Link services rural ground heat pump,16634357675.42081,15891844348.93335,22600788238.18922,21941428250.02984,,,,,,,,
Link services rural resistive heater,960602601.60136,985686638.05253,823877333.07351,830629103.57935,,,,,,,,
Link services urban decentral air heat pump,,,27939727532.53089,,,,,,,,,
Link services urban decentral biomass boiler,3647447210.15652,3409427291.86561,,7781014819.11757,,,,,,,,
Link services urban decentral gas boiler,26116874364.46979,26116874983.64624,26116857211.64836,26116856764.81158,,,,,,,,
Link shipping methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Link shipping oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Link solid biomass for industry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Link solid biomass for industry CC,661028307.36363,661027520.67998,863438941.28226,511772313.47876,7536671574.66215,7536671361.31507,7567811477.86298,7513709070.29376,8708315024.947,8708314868.62034,8739455290.67944,8685352628.49301
Link steel process emissions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Link steel process emissions CC,9745.9137,7185.04577,7591.3856,5583.68437,8182.94622,5977.89649,4106.16683,8160.67447,2311.81783,1894.27506,6476.22424,2860.39724
Link unsustainable bioliquids,0.0,0.0,0.0,0.0,,,,,,,,
Link urban central air heat pump,3316698339.1414,3042087562.44857,6613838652.78686,6297802766.47423,19831877634.12941,19854458643.89084,25116482766.63912,25074793367.5326,23551082232.22088,23527743722.17856,30153618408.83728,30289665806.58561
Link urban central gas CHP,7285.71176,6574.59208,5214.47824,4464.73119,4766.39051,4012.76887,2405.54516,5108.79176,1947.34928,1466.48205,3980.44134,1383.62357
Link urban central gas CHP CC,8946.14234,7782.11614,5866.34639,4886.49766,5881.97042,4391.37591,2821.86274,5741.74256,1888.08775,1681.89947,4875.63236,1718.41759
Link urban central gas boiler,1096246585.44614,1128949678.60771,803504673.24354,827879298.26929,1118030028.90496,1151632863.56274,814123563.45788,827886588.76401,1260320465.87454,1278875377.1329,860566947.02513,883106255.83079
Link urban central resistive heater,210939343.19868,205590182.42415,262316182.30423,258814886.52128,537027981.46182,553179057.91462,598578532.90291,615498140.05091,684081511.30452,700172873.12217,776562717.30582,770695096.29809
Link urban central solid biomass CHP,8860720615.97022,8612489980.61973,10109166590.25502,10031332712.57666,6289557484.69914,6041324972.5538,7537892487.41622,7460142855.53517,5891677488.7055,5643447807.9264,7140026818.75445,7062267388.95677
Link urban central solid biomass CHP CC,25869.5893,21866.02514,14491.45963,13849.09972,5093307139.48818,5108788881.01642,1355947190.39463,1348667880.82386,5093203541.01448,5108749282.20528,1355943742.38891,1348614251.60415
Link urban decentral air heat pump,,,,,29522519783.27305,29477746266.98946,29377344178.69543,28973186175.3009,20597275359.9079,21091480225.32324,17920877869.18374,17566215424.52241
Link urban decentral biomass boiler,,,,,3647403358.36202,3409418902.40794,8258867066.83694,7781014139.49256,28195530.80366,8767053.2795,9262.43964,3547.50554
Link urban decentral gas boiler,,,,,7530.57776,5936.78215,3211.07819,6547.06719,28684966.22049,24531036.32024,5570.61812,2018.37137
Link urban decentral oil boiler,4744382127.91085,4744382127.91085,4744382127.91085,4744382127.91085,,,,,,,,
Link urban decentral resistive heater,,,,,3790470254.42774,3813395037.53668,3410013157.65765,3472348685.74197,3361331484.14303,3380707642.2496,2963646732.60406,3047760865.61918
Load H2 for industry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Load HVC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Load NH3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Load agriculture electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Load agriculture heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Load agriculture machinery oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Load cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Load coal for industry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Load electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Load gas for industry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Load industry electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Load industry methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Load kerosene for aviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Load land transport EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Load land transport oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Load low-temperature heat for industry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Load process emissions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Load residential rural heat,0.0,0.0,0.0,0.0,,,,,,,,
Load residential urban decentral heat,0.0,0.0,0.0,0.0,,,,,,,,
Load rural heat,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Load shipping methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Load shipping oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Load solid biomass for industry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Load steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Load urban central heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Load urban decentral heat,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StorageUnit Pumped Hydro Storage,10196441142.68939,10196441142.68939,10196441142.68939,10196441142.68939,10196441142.68939,10196441142.68939,10196441142.68939,10196441142.68939,10196441142.68939,10196441142.68939,10196441142.68939,10196441142.68939
StorageUnit Reservoir & Dam,18883334439.4721,18883334439.4721,18883334439.4721,18883334439.4721,18883334439.4721,18883334439.4721,18883334439.4721,18883334439.4721,18883334439.4721,18883334439.4721,18883334439.4721,18883334439.4721
Store Battery Storage,25237.38795,21634.01959,23730.67143,18738.71883,26074720188.18222,25570190749.10497,41598105873.8516,42701252525.12816,27806773187.11444,27224631469.13812,52019095766.17809,52130177431.93454
Store H2 Store,10852.95579,9823.54049,9404652.47052,250286.81518,1383671390.54427,1277760941.83335,1559880003.1188,1361977610.95714,1515512299.29725,1388973203.85685,2144296792.61696,1952038497.97622
Store co2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Store co2 sequestered,500000000.59708,500000000.67407,500000000.75543,500000000.19282,2000000000.1151,2000000000.11067,2000000000.05699,2000000000.15454,2000000066.90745,2000000030.35067,2000000103.99292,2000000058.09632
Store co2 stored,279.70781,230.30234,200.83482,154.30201,164.85171,137.46446,100.85858,188.91861,66.60048,26.70189,112.46339,967361.39828
Store coal,279.22066,252.58101,188.00615,137.78629,133.44523,110.45891,71.70319,157.99211,94.6805,70.74866,161.17921,73.05695
Store gas,263.97996,252.75114,191.67302,138.26906,134.15567,109.96811,72.98617,159.50144,66.69159,29.02829,99.83923,61.86185
Store lignite,253.19545,211.86524,128.69464,121.38296,335.20738,286.30307,275.63278,258.53109,89.32511,65.15265,82.79968,57.02591
Store methanol,11662.24975,11013.82387,24865997.66097,7467050.47792,115414227.16902,189280665.31218,114777738.65845,182385745.55545,90088301.4781,134767376.00899,155644234.03729,258722188.2869
Store non-sequestered HVC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Store oil,273.07204,252.90393,193.17687,221.04032,135.35413,148.90622,74.20016,153.48208,38017553.04808,31528526.69729,396139856.20875,378563727.86407
Store uranium,0.09381,0.08369,0.06473,0.04684,0.05233,0.04752,0.03035,0.06512,0.02285,0.00948,0.03891,0.01665
