model,scenario,region,variable,unit,year,value
PyPSA-Eur,base_eu_regain,Albania,Investments|Energy Supply|Industry|Methanol|Methanolisation,Meuro/y,2030,0.0004873184156754786
PyPSA-Eur,base_eu_regain,Austria,Investments|Energy Supply|Industry|Methanol|Methanolisation,Meuro/y,2030,0.0005570206777734322
PyPSA-Eur,base_eu_regain,Belgium,Investments|Energy Supply|Industry|Methanol|Methanolisation,Meuro/y,2030,0.000673010596213288
PyPSA-Eur,base_eu_regain,Bosnia and Herzegovina,Investments|Energy Supply|Industry|Methanol|Methanolisation,Meuro/y,2030,0.00047226557659922635
PyPSA-Eur,base_eu_regain,Bulgaria,Investments|Energy Supply|Industry|Methanol|Methanolisation,Meuro/y,2030,0.0004924157010003369
PyPSA-Eur,base_eu_regain,Croatia,Investments|Energy Supply|Industry|Methanol|Methanolisation,Meuro/y,2030,0.0005110341165925263
PyPSA-Eur,base_eu_regain,Czechia,Investments|Energy Supply|Industry|Methanol|Methanolisation,Meuro/y,2030,0.0005455955181262224
PyPSA-Eur,base_eu_regain,Denmark,Investments|Energy Supply|Industry|Methanol|Methanolisation,Meuro/y,2030,0.00432413749882164
PyPSA-Eur,base_eu_regain,Estonia,Investments|Energy Supply|Industry|Methanol|Methanolisation,Meuro/y,2030,0.0011584656620300844
PyPSA-Eur,base_eu_regain,Finland,Investments|Energy Supply|Industry|Methanol|Methanolisation,Meuro/y,2030,0.0014674321477444836
PyPSA-Eur,base_eu_regain,France,Investments|Energy Supply|Industry|Methanol|Methanolisation,Meuro/y,2030,0.0018392702777362737
PyPSA-Eur,base_eu_regain,Germany,Investments|Energy Supply|Industry|Methanol|Methanolisation,Meuro/y,2030,0.0006220290975733173
PyPSA-Eur,base_eu_regain,Greece,Investments|Energy Supply|Industry|Methanol|Methanolisation,Meuro/y,2030,0.0009715981959849845
PyPSA-Eur,base_eu_regain,Hungary,Investments|Energy Supply|Industry|Methanol|Methanolisation,Meuro/y,2030,0.0005296180681609765
PyPSA-Eur,base_eu_regain,Ireland,Investments|Energy Supply|Industry|Methanol|Methanolisation,Meuro/y,2030,0.004875082661865733
PyPSA-Eur,base_eu_regain,Italy,Investments|Energy Supply|Industry|Methanol|Methanolisation,Meuro/y,2030,0.0020747266968500545
PyPSA-Eur,base_eu_regain,Kosovo,Investments|Energy Supply|Industry|Methanol|Methanolisation,Meuro/y,2030,0.0004742869260444002
PyPSA-Eur,base_eu_regain,Latvia,Investments|Energy Supply|Industry|Methanol|Methanolisation,Meuro/y,2030,0.0011287985443518957
PyPSA-Eur,base_eu_regain,Lithuania,Investments|Energy Supply|Industry|Methanol|Methanolisation,Meuro/y,2030,0.0008414836847836077
PyPSA-Eur,base_eu_regain,Luxembourg,Investments|Energy Supply|Industry|Methanol|Methanolisation,Meuro/y,2030,0.000695618279980346
